Vector field dimensions
nbX, nbY, nbZ
1, 64, 16

Bounding box min and max
coordX, coordY, coordZ
0.492188, 0.000000, 0.375000
0.507813, 1.000000, 0.625000

Triplet of values describing each vector in the field stored in X-major Z-minor order
-0.0000e+00, 9.9978e-01, -2.1108e-02
-0.0000e+00, 1.0000e+00, -1.0070e-04
-0.0000e+00, -4.1809e-01, -5.8745e-02
-0.0000e+00, 6.6060e-02, 3.4249e-02
-0.0000e+00, 1.6616e-01, 1.4828e-01
-0.0000e+00, -4.8036e-01, -4.9617e-01
-0.0000e+00, -6.8398e-01, -7.2950e-01
-0.0000e+00, 6.5916e-01, 7.1829e-01
-0.0000e+00, 2.9152e-01, 2.9522e-01
-0.0000e+00, 5.4148e-02, 4.5645e-02
-0.0000e+00, 8.7026e-02, 5.3010e-02
-0.0000e+00, 6.1140e-01, 2.2359e-01
-0.0000e+00, -9.7376e-01, -2.2758e-01
-0.0000e+00, -9.7330e-01, -2.2953e-01
-0.0000e+00, 9.5141e-01, 2.2126e-01
-0.0000e+00, -9.9993e-01, -1.1592e-02
-0.0000e+00, -9.9986e-01, 1.6592e-02
-0.0000e+00, 9.9990e-01, -1.4140e-02
-0.0000e+00, 3.9831e-01, 3.3364e-02
-0.0000e+00, 2.2705e-02, 8.5747e-03
-0.0000e+00, 1.4913e-02, 1.0588e-02
-0.0000e+00, 1.2204e-01, 1.1488e-01
-0.0000e+00, 4.2384e-01, 4.4300e-01
-0.0000e+00, -6.6104e-01, -7.5035e-01
-0.0000e+00, 6.6148e-01, 7.4996e-01
-0.0000e+00, -3.4671e-01, -3.4271e-01
-0.0000e+00, 1.4054e-01, 1.0444e-01
-0.0000e+00, 4.3209e-01, 2.1381e-01
-0.0000e+00, 9.5833e-01, 2.8566e-01
-0.0000e+00, 9.7219e-01, 2.3420e-01
-0.0000e+00, 9.8745e-01, 1.5794e-01
-0.0000e+00, 9.9993e-01, 1.1680e-02
-0.0000e+00, 9.9981e-01, -1.9309e-02
-0.0000e+00, -9.9962e-01, 2.7589e-02
-0.0000e+00, 3.9011e-01, 1.7426e-02
-0.0000e+00, 1.8262e-02, 5.4915e-03
-0.0000e+00, 8.4726e-04, 5.3119e-04
-0.0000e+00, 7.9022e-03, 7.1548e-03
-0.0000e+00, 8.3506e-02, 8.7842e-02
-0.0000e+00, 3.4862e-01, 3.9628e-01
-0.0000e+00, 6.5742e-01, 7.5352e-01
-0.0000e+00, 6.7495e-01, 7.3786e-01
-0.0000e+00, 4.5108e-01, 4.3304e-01
-0.0000e+00, -3.7877e-01, -2.5011e-01
-0.0000e+00, 9.3858e-01, 3.4506e-01
-0.0000e+00, -9.7376e-01, -2.2758e-01
-0.0000e+00, -9.9309e-01, -1.1732e-01
-0.0000e+00, 9.9988e-01, -1.5229e-02
-0.0000e+00, 9.9965e-01, -2.6567e-02
-0.0000e+00, -9.9947e-01, 3.2587e-02
-0.0000e+00, 3.8464e-01, 1.1177e-02
-0.0000e+00, 1.6168e-02, 4.5652e-03
-0.0000e+00, 8.2210e-04, 5.6934e-04
-0.0000e+00, 6.9131e-04, 7.2256e-04
-0.0000e+00, 3.9715e-03, 4.7584e-03
-0.0000e+00, 5.4843e-02, 6.4652e-02
-0.0000e+00, 3.0357e-01, 3.3529e-01
-0.0000e+00, -6.6449e-01, -7.3184e-01
-0.0000e+00, -6.5803e-01, -7.5299e-01
-0.0000e+00, 6.2144e-01, 5.6040e-01
-0.0000e+00, -8.8856e-01, -4.5875e-01
-0.0000e+00, 9.6839e-01, 2.4944e-01
-0.0000e+00, 9.9236e-01, 1.2338e-01
-0.0000e+00, -9.9985e-01, 1.7592e-02
-0.0000e+00, -9.9977e-01, 2.1591e-02
-0.0000e+00, 9.9965e-01, -2.6557e-02
-0.0000e+00, 3.8120e-01, 3.3828e-04
-0.0000e+00, 1.5354e-02, 3.2278e-03
-0.0000e+00, 6.8434e-04, 7.2916e-04
-0.0000e+00, -5.2627e-04, -8.5032e-04
-0.0000e+00, -5.1688e-04, -8.5606e-04
-0.0000e+00, -1.9946e-03, -2.9584e-03
-0.0000e+00, 3.8383e-02, 4.8818e-02
-0.0000e+00, 2.5757e-01, 2.9617e-01
-0.0000e+00, 6.0270e-01, 6.9866e-01
-0.0000e+00, -6.6628e-01, -7.4571e-01
-0.0000e+00, -7.9208e-01, -6.1042e-01
-0.0000e+00, 9.2814e-01, 3.7222e-01
-0.0000e+00, -9.7770e-01, -2.1002e-01
-0.0000e+00, -9.9994e-01, -1.0592e-02
-0.0000e+00, -9.9993e-01, -1.1592e-02
-0.0000e+00, 1.0000e+00, 3.0860e-04
