Vector field dimensions
nbX, nbY, nbZ
1, 64, 16

Bounding box min and max
coordX, coordY, coordZ
0.492188, 0.000000, 0.375000
0.507813, 1.000000, 0.625000

Triplet of values describing each vector in the field stored in X-major Z-minor order
-0.0000e+00, 9.9815e-01, -6.0872e-02
-0.0000e+00, 9.9277e-01, 1.2001e-01
-0.0000e+00, 8.6687e-01, 4.9853e-01
-0.0000e+00, -7.1680e-01, -6.9728e-01
-0.0000e+00, -7.0271e-01, -7.1147e-01
-0.0000e+00, 7.3604e-01, 6.7694e-01
-0.0000e+00, 7.6323e-01, 6.4613e-01
-0.0000e+00, 7.9067e-01, 6.1225e-01
-0.0000e+00, 8.2273e-01, 5.6843e-01
-0.0000e+00, 8.7624e-01, 4.8188e-01
-0.0000e+00, -9.5605e-01, -2.9322e-01
-0.0000e+00, -9.7488e-01, -2.2271e-01
-0.0000e+00, -9.7191e-01, -2.3536e-01
-0.0000e+00, -9.4155e-01, -3.3687e-01
-0.0000e+00, -9.9972e-01, 2.3590e-02
-0.0000e+00, -9.9959e-01, 2.8589e-02
-0.0000e+00, -9.9994e-01, 1.0592e-02
-0.0000e+00, -9.8745e-01, -1.5793e-01
-0.0000e+00, 8.5802e-01, 5.1362e-01
-0.0000e+00, 7.0541e-01, 7.0880e-01
-0.0000e+00, -6.8398e-01, -7.2950e-01
-0.0000e+00, -7.0129e-01, -7.1288e-01
-0.0000e+00, 7.2256e-01, 6.9131e-01
-0.0000e+00, 7.5319e-01, 6.5780e-01
-0.0000e+00, 7.9940e-01, 6.0080e-01
-0.0000e+00, 8.6712e-01, 4.9809e-01
-0.0000e+00, -9.5276e-01, -3.0372e-01
-0.0000e+00, 9.7803e-01, 2.0846e-01
-0.0000e+00, -9.7664e-01, -2.1490e-01
-0.0000e+00, -9.6144e-01, -2.7500e-01
-0.0000e+00, 9.9988e-01, -1.5629e-02
-0.0000e+00, 9.9978e-01, -2.1108e-02
-0.0000e+00, 1.0000e+00, -1.0070e-04
-0.0000e+00, -9.9027e-01, -1.3914e-01
-0.0000e+00, 8.8778e-01, 4.6027e-01
-0.0000e+00, 7.4611e-01, 6.6583e-01
-0.0000e+00, -6.9556e-01, -7.1846e-01
-0.0000e+00, -6.8398e-01, -7.2950e-01
-0.0000e+00, 6.7613e-01, 7.3678e-01
-0.0000e+00, 7.0264e-01, 7.1155e-01
-0.0000e+00, 7.6458e-01, 6.4452e-01
-0.0000e+00, 8.5404e-01, 5.2021e-01
-0.0000e+00, 9.3917e-01, 3.4346e-01
-0.0000e+00, -9.7376e-01, -2.2758e-01
-0.0000e+00, -9.7330e-01, -2.2953e-01
-0.0000e+00, 9.7401e-01, 2.2652e-01
-0.0000e+00, -9.9993e-01, -1.1592e-02
-0.0000e+00, -9.9986e-01, 1.6592e-02
-0.0000e+00, 9.9990e-01, -1.4140e-02
-0.0000e+00, 9.9651e-01, 8.3473e-02
-0.0000e+00, 9.3551e-01, 3.5330e-01
-0.0000e+00, 8.1539e-01, 5.7892e-01
-0.0000e+00, 7.2813e-01, 6.8543e-01
-0.0000e+00, 6.9131e-01, 7.2256e-01
-0.0000e+00, -6.6104e-01, -7.5035e-01
-0.0000e+00, 6.6148e-01, 7.4996e-01
-0.0000e+00, -7.1120e-01, -7.0299e-01
-0.0000e+00, 8.0263e-01, 5.9647e-01
-0.0000e+00, 8.9627e-01, 4.4350e-01
-0.0000e+00, 9.5833e-01, 2.8566e-01
-0.0000e+00, 9.7219e-01, 2.3420e-01
-0.0000e+00, 9.8745e-01, 1.5794e-01
-0.0000e+00, 9.9993e-01, 1.1680e-02
-0.0000e+00, 9.9981e-01, -1.9309e-02
-0.0000e+00, -9.9962e-01, 2.7589e-02
-0.0000e+00, 9.9900e-01, 4.4625e-02
